Category: All categories

Week,Gaules: (United States)
2020-01-05,21
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,40
2020-02-16,40
2020-02-23,19
2020-03-01,0
2020-03-08,0
2020-03-15,38
2020-03-22,0
2020-03-29,36
2020-04-05,18
2020-04-12,35
2020-04-19,0
2020-04-26,70
2020-05-03,53
2020-05-10,36
2020-05-17,0
2020-05-24,0
2020-05-31,54
2020-06-07,0
2020-06-14,76
2020-06-21,39
2020-06-28,100
2020-07-05,0
2020-07-12,40
2020-07-19,0
2020-07-26,0
2020-08-02,20
2020-08-09,40
2020-08-16,40
2020-08-23,38
2020-08-30,37
2020-09-06,19
2020-09-13,0
2020-09-20,19
2020-09-27,59
2020-10-04,21
2020-10-11,22
2020-10-18,23
2020-10-25,23
2020-11-01,19
2020-11-08,21
2020-11-15,0
2020-11-22,0
2020-11-29,43
2020-12-06,21
2020-12-13,44
2020-12-20,24
2020-12-27,0
