Category: All categories

Week,NICKMERCS: (United States)
2020-01-05,15
2020-01-12,12
2020-01-19,13
2020-01-26,11
2020-02-02,9
2020-02-09,10
2020-02-16,11
2020-02-23,16
2020-03-01,17
2020-03-08,11
2020-03-15,15
2020-03-22,20
2020-03-29,21
2020-04-05,26
2020-04-12,30
2020-04-19,35
2020-04-26,52
2020-05-03,45
2020-05-10,47
2020-05-17,41
2020-05-24,47
2020-05-31,43
2020-06-07,44
2020-06-14,71
2020-06-21,76
2020-06-28,67
2020-07-05,70
2020-07-12,71
2020-07-19,71
2020-07-26,68
2020-08-02,100
2020-08-09,75
2020-08-16,65
2020-08-23,63
2020-08-30,68
2020-09-06,57
2020-09-13,62
2020-09-20,62
2020-09-27,61
2020-10-04,61
2020-10-11,78
2020-10-18,72
2020-10-25,56
2020-11-01,52
2020-11-08,57
2020-11-15,60
2020-11-22,55
2020-11-29,52
2020-12-06,54
2020-12-13,55
2020-12-20,54
2020-12-27,63
