Category: All categories

Week,summit1g: (United States)
2020-01-05,16
2020-01-12,19
2020-01-19,24
2020-01-26,29
2020-02-02,34
2020-02-09,30
2020-02-16,31
2020-02-23,26
2020-03-01,25
2020-03-08,24
2020-03-15,30
2020-03-22,29
2020-03-29,39
2020-04-05,100
2020-04-12,65
2020-04-19,69
2020-04-26,45
2020-05-03,41
2020-05-10,36
2020-05-17,29
2020-05-24,43
2020-05-31,28
2020-06-07,22
2020-06-14,23
2020-06-21,61
2020-06-28,34
2020-07-05,33
2020-07-12,19
2020-07-19,19
2020-07-26,20
2020-08-02,27
2020-08-09,29
2020-08-16,19
2020-08-23,14
2020-08-30,22
2020-09-06,24
2020-09-13,20
2020-09-20,19
2020-09-27,17
2020-10-04,31
2020-10-11,18
2020-10-18,14
2020-10-25,19
2020-11-01,11
2020-11-08,15
2020-11-15,23
2020-11-22,12
2020-11-29,23
2020-12-06,16
2020-12-13,24
2020-12-20,31
2020-12-27,25
